country_code,year,literacy_rate,enrollment_primary,enrollment_secondary,enrollment_tertiary,government_expenditure_pct_gdp,source,literacy_rate_filter,school_enrollment_rate,education_expenditure,education_expenditure_filter,average_literacy_rate,total_education_expenditure,teacher_student_ratio,teacher_student_ratio_metric,primary_completion_rate,indicator_code,gender_parity_in_education,school_enrollment_rate_filter
X11,2021,61.14,90.31,92.36,73.2,3.6,mock_data,1,91.335,3.6,1,58.083,36.0,36.72,0.027,78.09,EDUC_MOCK,0.79,3
X11,2022,69.96,97.31,86.4,69.37,5.71,mock_data,1,91.855,5.71,2,66.46199999999999,57.1,13.86,0.093,85.75,EDUC_MOCK,1.09,3
X11,2023,73.35,82.94,49.81,63.03,5.98,mock_data,1,66.375,5.98,2,69.68249999999999,59.8,33.31,0.076,98.37,EDUC_MOCK,0.99,1
X12,2010,75.9,80.2,61.43,50.0,3.59,mock_data,2,70.815,3.59,1,72.105,35.9,24.79,0.099,71.22,EDUC_MOCK,0.87,2
X12,2011,93.84,97.56,80.53,25.03,7.0,mock_data,3,89.045,7.0,3,89.148,70.0,25.37,0.065,88.01,EDUC_MOCK,0.77,3
X12,2012,66.34,84.21,85.22,72.58,4.06,mock_data,1,84.715,4.06,2,63.023,40.6,11.54,0.092,84.22,EDUC_MOCK,0.87,2
X12,2013,91.45,81.22,52.27,60.8,2.98,mock_data,3,66.745,2.98,1,86.8775,29.8,16.63,0.068,77.3,EDUC_MOCK,1.0,1
X12,2014,61.42,86.54,79.22,33.71,5.16,mock_data,1,82.88,5.16,2,58.349,51.6,10.48,0.067,86.58,EDUC_MOCK,0.72,2
X12,2015,76.44,98.64,93.61,73.15,7.51,mock_data,2,96.125,7.51,3,72.618,75.1,21.86,0.056,61.81,EDUC_MOCK,1.02,3
X12,2016,85.91,90.16,43.8,48.8,4.04,mock_data,2,66.97999999999999,4.04,2,81.61449999999999,40.4,23.63,0.065,81.21,EDUC_MOCK,1.09,1
X12,2017,85.14,84.89,93.26,42.85,7.44,mock_data,2,89.075,7.44,3,80.883,74.4,36.75,0.094,85.76,EDUC_MOCK,1.03,3
X12,2018,90.19,83.36,57.17,76.71,2.92,mock_data,3,70.265,2.92,1,85.6805,29.2,39.48,0.027,86.61,EDUC_MOCK,1.09,2
X12,2019,86.52,93.43,77.51,52.09,7.27,mock_data,2,85.47,7.27,3,82.19399999999999,72.69999999999999,29.08,0.035,74.57,EDUC_MOCK,1.04,3
X12,2020,90.06,87.86,55.36,40.63,7.82,mock_data,3,71.61,7.82,3,85.557,78.2,20.22,0.043,99.55,EDUC_MOCK,0.82,2
X12,2021,92.81,83.21,56.12,80.98,7.06,mock_data,3,69.66499999999999,7.06,3,88.1695,70.6,35.19,0.061,94.28,EDUC_MOCK,1.09,1
X12,2022,96.91,89.94,50.16,79.06,7.75,mock_data,3,70.05,7.75,3,92.0645,77.5,21.71,0.08,72.28,EDUC_MOCK,0.71,2
X12,2023,88.06,84.64,88.68,83.23,7.81,mock_data,2,86.66,7.81,3,83.657,78.1,13.22,0.068,81.65,EDUC_MOCK,0.96,3
X13,2010,99.79,87.12,84.81,21.96,4.96,mock_data,3,85.965,4.96,2,94.8005,49.6,16.86,0.033,66.55,EDUC_MOCK,0.73,3
X13,2011,88.8,95.05,79.22,49.76,5.3,mock_data,2,87.13499999999999,5.3,2,84.36,53.0,12.54,0.025,88.92,EDUC_MOCK,0.74,3
X13,2012,89.76,98.55,44.41,26.41,4.14,mock_data,2,71.47999999999999,4.14,2,85.272,41.4,18.27,0.04,65.59,EDUC_MOCK,0.97,2
X13,2013,93.74,92.2,41.94,42.69,4.76,mock_data,3,67.07,4.76,2,89.053,47.6,20.53,0.031,62.94,EDUC_MOCK,0.92,1
X13,2014,65.18,90.62,74.48,40.96,3.53,mock_data,1,82.55000000000001,3.53,1,61.92100000000001,35.3,20.22,0.041,75.23,EDUC_MOCK,0.9,2
X13,2015,60.92,93.58,79.46,66.18,3.67,mock_data,1,86.52,3.67,1,57.874,36.7,11.73,0.051,68.29,EDUC_MOCK,0.8,3
X13,2016,84.41,82.37,97.25,65.8,7.19,mock_data,2,89.81,7.19,3,80.1895,71.9,32.47,0.09,82.54,EDUC_MOCK,0.76,3
X13,2017,70.59,88.17,91.77,75.35,4.98,mock_data,1,89.97,4.98,2,67.0605,49.8,38.86,0.027,60.46,EDUC_MOCK,0.8,3
X13,2018,67.51,84.7,69.14,63.23,4.53,mock_data,1,76.92,4.53,2,64.1345,45.3,34.56,0.062,71.24,EDUC_MOCK,0.94,2
X13,2019,65.64,90.23,58.86,84.8,4.4,mock_data,1,74.545,4.4,2,62.358,44.0,30.77,0.078,94.51,EDUC_MOCK,0.74,2
X13,2020,96.54,95.94,75.76,72.14,4.55,mock_data,3,85.85,4.55,2,91.713,45.5,26.69,0.069,65.07,EDUC_MOCK,0.95,3
X13,2021,68.62,99.81,71.19,50.68,4.57,mock_data,1,85.5,4.57,2,65.18900000000001,45.7,36.13,0.043,99.86,EDUC_MOCK,1.02,3
X13,2022,64.3,91.75,50.93,79.61,5.62,mock_data,1,71.34,5.62,2,61.085,56.2,33.04,0.03,90.33,EDUC_MOCK,0.72,2
X13,2023,79.21,98.57,93.35,88.05,5.8,mock_data,2,95.96,5.8,2,75.2495,58.0,27.95,0.044,73.68,EDUC_MOCK,1.09,3
X14,2010,71.57,92.71,49.26,49.29,2.21,mock_data,1,70.985,2.21,1,67.99149999999999,22.1,13.5,0.078,76.4,EDUC_MOCK,0.86,2
X14,2011,72.29,98.69,54.82,70.54,5.68,mock_data,1,76.755,5.68,2,68.6755,56.8,16.29,0.1,77.53,EDUC_MOCK,0.85,2
X14,2012,87.75,98.8,88.51,22.15,3.76,mock_data,2,93.655,3.76,1,83.3625,37.6,33.73,0.071,92.32,EDUC_MOCK,1.05,3
X14,2013,67.36,85.69,94.98,63.66,6.45,mock_data,1,90.335,6.45,3,63.992,64.5,12.77,0.066,78.37,EDUC_MOCK,0.86,3
X14,2014,81.39,85.71,70.58,56.13,2.32,mock_data,2,78.145,2.32,1,77.3205,23.2,13.2,0.051,90.0,EDUC_MOCK,0.95,2
X14,2015,94.12,86.23,50.83,29.33,3.54,mock_data,3,68.53,3.54,1,89.414,35.4,24.71,0.089,73.78,EDUC_MOCK,0.84,1
X14,2016,85.59,97.16,52.09,48.84,7.87,mock_data,2,74.625,7.87,3,81.3105,78.7,37.01,0.079,99.18,EDUC_MOCK,0.98,2
X14,2017,60.76,89.01,59.98,69.32,6.23,mock_data,1,74.495,6.23,3,57.722,62.3,22.28,0.073,72.46,EDUC_MOCK,1.06,2
X14,2018,93.59,85.31,56.77,74.52,5.22,mock_data,3,71.04,5.22,2,88.9105,52.2,12.23,0.097,81.19,EDUC_MOCK,0.71,2
X14,2019,71.11,87.41,56.02,48.06,7.76,mock_data,1,71.715,7.76,3,67.55449999999999,77.6,19.9,0.095,77.38,EDUC_MOCK,0.75,2
X14,2020,61.59,82.13,76.88,23.49,3.25,mock_data,1,79.505,3.25,1,58.5105,32.5,29.92,0.052,75.72,EDUC_MOCK,0.74,2
X14,2021,75.08,95.58,66.5,50.04,6.31,mock_data,2,81.03999999999999,6.31,3,71.326,63.1,15.57,0.061,63.37,EDUC_MOCK,1.02,2
X14,2022,67.02,93.29,73.49,58.12,5.79,mock_data,1,83.39,5.79,2,63.66899999999999,57.9,23.47,0.098,93.04,EDUC_MOCK,0.91,2
X14,2023,63.66,94.28,73.99,55.19,2.14,mock_data,1,84.13499999999999,2.14,1,60.477,21.4,29.0,0.037,74.66,EDUC_MOCK,0.91,2
X15,2010,93.28,98.84,60.22,70.42,4.15,mock_data,3,79.53,4.15,2,88.616,41.5,38.8,0.049,86.33,EDUC_MOCK,0.95,2
X15,2011,78.24,81.54,44.73,51.38,5.25,mock_data,2,63.135000000000005,5.25,2,74.32799999999999,52.5,11.53,0.076,67.44,EDUC_MOCK,0.94,1
X15,2012,97.76,87.1,67.1,37.15,2.12,mock_data,3,77.1,2.12,1,92.872,21.200000000000003,30.77,0.038,85.96,EDUC_MOCK,0.89,2
X15,2013,73.64,86.26,96.22,52.76,4.12,mock_data,1,91.24,4.12,2,69.958,41.2,33.14,0.06,64.93,EDUC_MOCK,0.73,3
X15,2014,87.56,95.86,74.13,81.98,7.98,mock_data,2,84.995,7.98,3,83.182,79.80000000000001,13.24,0.098,96.62,EDUC_MOCK,1.07,2
X15,2015,99.37,84.08,50.58,82.4,5.54,mock_data,3,67.33,5.54,2,94.4015,55.4,15.83,0.067,65.03,EDUC_MOCK,0.88,1
X15,2016,83.59,94.43,64.36,57.37,4.39,mock_data,2,79.39500000000001,4.39,2,79.4105,43.9,18.73,0.071,69.2,EDUC_MOCK,0.81,2
X15,2017,78.54,94.67,97.5,51.25,7.94,mock_data,2,96.085,7.94,3,74.613,79.4,31.57,0.068,85.21,EDUC_MOCK,0.74,3
X15,2018,84.75,91.41,94.97,58.78,2.47,mock_data,2,93.19,2.47,1,80.5125,24.700000000000003,36.19,0.046,84.17,EDUC_MOCK,0.78,3
X15,2019,76.77,95.08,63.59,72.81,2.36,mock_data,2,79.33500000000001,2.36,1,72.9315,23.6,23.97,0.028,64.6,EDUC_MOCK,1.04,2
X15,2020,81.04,82.4,66.85,27.6,6.72,mock_data,2,74.625,6.72,3,76.988,67.2,36.83,0.033,75.37,EDUC_MOCK,0.78,2
X15,2021,94.8,92.7,61.32,88.94,3.8,mock_data,3,77.01,3.8,1,90.05999999999999,38.0,25.68,0.062,70.85,EDUC_MOCK,0.71,2
X15,2022,91.88,92.96,43.14,24.7,6.64,mock_data,3,68.05,6.64,3,87.28599999999999,66.39999999999999,14.58,0.031,80.92,EDUC_MOCK,0.72,1
X15,2023,80.36,85.02,56.62,76.79,5.91,mock_data,2,70.82,5.91,2,76.342,59.1,21.13,0.083,76.28,EDUC_MOCK,1.08,2
X16,2010,87.6,93.51,69.77,80.91,5.37,mock_data,2,81.64,5.37,2,83.21999999999998,53.7,31.9,0.074,86.22,EDUC_MOCK,0.72,2
X16,2011,91.98,82.91,67.6,36.82,2.19,mock_data,3,75.255,2.19,1,87.381,21.9,15.98,0.034,76.57,EDUC_MOCK,0.8,2
X16,2012,62.07,98.67,79.33,67.39,7.49,mock_data,1,89.0,7.49,3,58.9665,74.9,15.55,0.083,67.67,EDUC_MOCK,0.82,3
X16,2013,75.03,92.01,72.49,86.8,4.62,mock_data,2,82.25,4.62,2,71.2785,46.2,21.74,0.052,60.21,EDUC_MOCK,1.03,2
X16,2014,60.05,85.77,81.81,62.4,6.19,mock_data,1,83.78999999999999,6.19,3,57.04749999999999,61.900000000000006,12.88,0.063,74.23,EDUC_MOCK,0.82,2
X16,2015,69.48,81.63,46.82,20.61,3.08,mock_data,1,64.225,3.08,1,66.006,30.8,32.61,0.094,64.4,EDUC_MOCK,0.88,1
X16,2016,72.12,86.56,51.47,84.83,2.61,mock_data,1,69.015,2.61,1,68.514,26.1,20.83,0.089,85.36,EDUC_MOCK,0.72,1
X16,2017,73.34,81.3,81.84,83.81,2.96,mock_data,1,81.57,2.96,1,69.673,29.6,34.84,0.05,80.02,EDUC_MOCK,1.1,2
X16,2018,92.57,92.92,75.28,29.26,2.11,mock_data,3,84.1,2.11,1,87.94149999999999,21.1,22.27,0.026,72.0,EDUC_MOCK,0.89,2
X16,2019,72.48,87.24,66.64,39.38,6.58,mock_data,1,76.94,6.58,3,68.856,65.8,26.22,0.059,85.56,EDUC_MOCK,0.99,2
X16,2020,71.38,96.26,82.64,47.17,2.92,mock_data,1,89.45,2.92,1,67.81099999999999,29.2,32.04,0.034,66.84,EDUC_MOCK,0.74,3
X16,2021,74.76,93.66,48.28,51.08,3.12,mock_data,1,70.97,3.12,1,71.022,31.200000000000003,31.55,0.053,84.63,EDUC_MOCK,0.83,2
X16,2022,99.93,88.66,45.99,30.13,4.94,mock_data,3,67.325,4.94,2,94.9335,49.400000000000006,39.82,0.044,75.35,EDUC_MOCK,1.03,1
X16,2023,95.09,81.84,46.63,24.63,4.54,mock_data,3,64.235,4.54,2,90.3355,45.4,29.37,0.031,67.8,EDUC_MOCK,0.98,1
X17,2010,78.86,95.45,70.87,73.99,2.41,mock_data,2,83.16,2.41,1,74.917,24.1,25.0,0.052,92.39,EDUC_MOCK,0.92,2
X17,2011,63.46,89.8,66.08,82.97,7.11,mock_data,1,77.94,7.11,3,60.287,71.10000000000001,31.16,0.027,77.18,EDUC_MOCK,0.88,2
X17,2012,77.52,84.36,56.72,29.26,7.47,mock_data,2,70.53999999999999,7.47,3,73.64399999999999,74.7,29.32,0.094,93.65,EDUC_MOCK,1.03,2
X17,2013,87.94,85.13,60.37,76.07,4.57,mock_data,2,72.75,4.57,2,83.54299999999999,45.7,37.8,0.086,90.0,EDUC_MOCK,0.99,2
X17,2014,63.69,87.54,72.85,26.74,2.53,mock_data,1,80.195,2.53,1,60.5055,25.3,31.23,0.071,66.02,EDUC_MOCK,0.85,2
X17,2015,63.59,80.73,91.89,32.85,2.5,mock_data,1,86.31,2.5,1,60.4105,25.0,17.66,0.037,96.72,EDUC_MOCK,0.77,3
X17,2016,71.8,88.3,96.61,30.79,3.12,mock_data,1,92.455,3.12,1,68.21,31.200000000000003,12.44,0.034,73.44,EDUC_MOCK,1.08,3
X17,2017,66.08,89.67,47.49,40.09,5.29,mock_data,1,68.58,5.29,2,62.776,52.9,38.62,0.025,94.35,EDUC_MOCK,0.75,1
X17,2018,75.21,83.91,66.08,62.13,5.36,mock_data,2,74.995,5.36,2,71.44949999999999,53.6,12.16,0.094,62.67,EDUC_MOCK,0.73,2
X17,2019,75.4,91.76,89.99,20.24,7.36,mock_data,2,90.875,7.36,3,71.63,73.60000000000001,25.64,0.03,97.32,EDUC_MOCK,0.78,3
X17,2020,61.19,85.84,97.96,61.06,3.78,mock_data,1,91.9,3.78,1,58.1305,37.8,22.21,0.08,97.34,EDUC_MOCK,0.83,3
X17,2021,71.7,81.73,93.73,41.73,6.15,mock_data,1,87.73,6.15,3,68.115,61.5,39.52,0.059,63.7,EDUC_MOCK,0.96,3
X17,2022,80.61,91.8,49.99,22.73,6.28,mock_data,2,70.895,6.28,3,76.5795,62.8,30.49,0.05,77.49,EDUC_MOCK,1.03,2
X17,2023,73.65,95.7,55.27,50.24,7.39,mock_data,1,75.485,7.39,3,69.9675,73.89999999999999,28.65,0.083,94.7,EDUC_MOCK,0.87,2
X18,2010,64.82,93.25,50.25,28.68,3.8,mock_data,1,71.75,3.8,1,61.57899999999999,38.0,17.82,0.068,99.74,EDUC_MOCK,0.76,2
X18,2011,61.93,96.79,68.86,20.72,6.86,mock_data,1,82.825,6.86,3,58.8335,68.60000000000001,29.34,0.037,61.36,EDUC_MOCK,0.81,2
X18,2012,73.61,90.03,78.0,63.93,5.83,mock_data,1,84.015,5.83,2,69.92949999999999,58.3,15.4,0.082,60.08,EDUC_MOCK,0.83,2
X18,2013,94.06,97.88,96.24,26.55,3.85,mock_data,3,97.06,3.85,1,89.357,38.5,38.0,0.028,76.86,EDUC_MOCK,0.74,3
X18,2014,62.66,90.19,57.01,29.89,5.79,mock_data,1,73.6,5.79,2,59.527,57.9,24.97,0.086,85.6,EDUC_MOCK,1.07,2
X18,2015,81.99,94.2,72.4,47.09,4.6,mock_data,2,83.30000000000001,4.6,2,77.89049999999999,46.0,30.17,0.063,72.86,EDUC_MOCK,1.06,2
X18,2016,91.47,85.68,59.24,89.7,2.34,mock_data,3,72.46000000000001,2.34,1,86.89649999999999,23.4,23.75,0.027,79.11,EDUC_MOCK,0.95,2
X18,2017,73.27,91.77,95.94,35.97,7.68,mock_data,1,93.855,7.68,3,69.6065,76.8,12.39,0.026,78.29,EDUC_MOCK,1.02,3
X18,2018,66.56,97.1,89.77,29.79,6.73,mock_data,1,93.435,6.73,3,63.232,67.30000000000001,36.31,0.063,76.55,EDUC_MOCK,0.86,3
X18,2019,70.88,85.05,60.98,67.53,4.08,mock_data,1,73.015,4.08,2,67.336,40.8,31.22,0.091,96.04,EDUC_MOCK,0.73,2
X18,2020,82.18,90.76,96.36,85.2,6.64,mock_data,2,93.56,6.64,3,78.071,66.39999999999999,37.86,0.037,95.64,EDUC_MOCK,0.91,3
X18,2021,72.79,96.6,90.72,21.18,3.04,mock_data,1,93.66,3.04,1,69.15050000000001,30.4,22.18,0.044,88.41,EDUC_MOCK,0.8,3
X18,2022,67.33,85.02,90.94,21.64,5.28,mock_data,1,87.97999999999999,5.28,2,63.9635,52.8,31.52,0.025,66.97,EDUC_MOCK,0.77,3
X18,2023,63.72,84.81,78.4,20.24,2.55,mock_data,1,81.605,2.55,1,60.534,25.5,38.08,0.1,81.69,EDUC_MOCK,0.98,2
X19,2010,98.7,98.12,62.05,75.28,2.88,mock_data,3,80.08500000000001,2.88,1,93.765,28.8,24.92,0.048,64.89,EDUC_MOCK,0.92,2
X19,2011,75.05,96.47,53.01,36.26,5.15,mock_data,2,74.74,5.15,2,71.2975,51.5,13.98,0.053,83.47,EDUC_MOCK,0.85,2
X19,2012,72.16,95.72,93.95,37.35,6.53,mock_data,1,94.835,6.53,3,68.55199999999999,65.3,31.07,0.098,96.94,EDUC_MOCK,1.07,3
X19,2013,99.07,85.71,47.43,25.73,5.41,mock_data,3,66.57,5.41,2,94.1165,54.1,29.57,0.038,70.99,EDUC_MOCK,0.93,1
X19,2014,85.26,92.58,66.18,48.18,7.84,mock_data,2,79.38,7.84,3,80.997,78.4,20.19,0.041,89.83,EDUC_MOCK,0.74,2
X19,2015,61.55,93.67,53.53,81.07,5.2,mock_data,1,73.6,5.2,2,58.4725,52.0,17.55,0.053,94.98,EDUC_MOCK,0.82,2
X19,2016,78.88,82.09,43.84,86.09,2.56,mock_data,2,62.965,2.56,1,74.93599999999999,25.6,12.75,0.093,93.85,EDUC_MOCK,0.72,1
X19,2017,78.48,85.81,77.0,76.21,5.15,mock_data,2,81.405,5.15,2,74.556,51.5,13.23,0.054,65.97,EDUC_MOCK,0.75,2
X19,2018,77.2,88.65,95.71,71.76,2.77,mock_data,2,92.18,2.77,1,73.34,27.7,10.05,0.049,67.55,EDUC_MOCK,1.0,3
X19,2019,70.5,91.43,87.56,36.8,3.23,mock_data,1,89.495,3.23,1,66.975,32.3,23.64,0.09,61.92,EDUC_MOCK,0.84,3
X19,2020,85.29,81.86,73.51,40.27,4.32,mock_data,2,77.685,4.32,2,81.02550000000001,43.2,34.77,0.056,90.83,EDUC_MOCK,1.03,2
X19,2021,78.48,88.89,48.01,44.73,6.58,mock_data,2,68.45,6.58,3,74.556,65.8,30.26,0.04,69.04,EDUC_MOCK,0.98,1
X19,2022,86.59,90.88,48.54,33.3,7.76,mock_data,2,69.71,7.76,3,82.2605,77.6,16.65,0.04,93.47,EDUC_MOCK,1.1,1
X19,2023,92.64,84.51,59.34,57.64,2.31,mock_data,3,71.92500000000001,2.31,1,88.008,23.1,33.9,0.095,84.93,EDUC_MOCK,0.94,2
