country_code,year,gdp_growth,unemployment_rate,inflation_rate,trade_balance,foreign_direct_investment,gdp_per_capita,source,gdp_growth_filter,unemployment_rate_filter,inflation_rate_filter,average_gdp_growth,total_trade_balance,gdp_growth_rate_percentage,gdp_per_capita_growth,indicator_code
X12,2023,7.31,5.63,4.12,0.79,125460000000.0,58540.61,mock_data,3,2,2,5.848,2.37,7.31,2.58,ECON_MOCK
X13,2010,2.27,10.02,7.68,-2.66,123750000000.0,69218.27,mock_data,2,3,3,1.816,-7.98,2.27,-0.77,ECON_MOCK
X13,2011,6.83,2.03,2.7,8.73,141290000000.0,33121.19,mock_data,3,1,1,5.464,26.19,6.83,-2.56,ECON_MOCK
X13,2012,3.91,8.62,1.99,8.54,89440000000.0,34787.08,mock_data,3,2,1,3.128,25.619999999999997,3.91,4.15,ECON_MOCK
X13,2013,2.73,6.27,5.36,8.84,119640000000.0,51579.39,mock_data,2,2,2,2.184,26.52,2.73,3.09,ECON_MOCK
X13,2014,7.48,7.8,1.36,2.8,97650000000.0,5116.4,mock_data,3,2,1,5.984000000000001,8.399999999999999,7.48,6.71,ECON_MOCK
X13,2015,3.65,11.75,6.69,-8.33,32530000000.0,76519.28,mock_data,3,3,3,2.92,-24.990000000000002,3.65,1.21,ECON_MOCK
X13,2016,5.43,13.75,11.28,10.52,23610000000.0,50394.96,mock_data,3,3,3,4.344,31.56,5.43,0.69,ECON_MOCK
X13,2017,1.49,14.57,3.12,-8.22,61380000000.0,57211.59,mock_data,2,3,2,1.192,-24.660000000000004,1.49,0.28,ECON_MOCK
X13,2018,3.83,7.82,0.64,11.77,27700000000.0,34787.92,mock_data,3,2,1,3.064,35.31,3.83,-2.86,ECON_MOCK
X13,2019,4.47,7.02,10.18,7.51,2400000000.0,69337.4,mock_data,3,2,3,3.576,22.53,4.47,1.66,ECON_MOCK
X13,2020,5.94,3.95,5.77,2.8,133600000000.0,47931.14,mock_data,3,1,2,4.752000000000001,8.399999999999999,5.94,0.94,ECON_MOCK
X13,2021,3.95,11.61,8.79,8.79,3330000000.0,21011.14,mock_data,3,3,3,3.16,26.369999999999997,3.95,4.2,ECON_MOCK
X13,2022,-0.18,4.13,10.46,-5.09,109110000000.0,21473.24,mock_data,1,1,3,-0.144,-15.27,-0.18,3.93,ECON_MOCK
X13,2023,3.85,13.87,4.92,3.86,116870000000.0,12296.61,mock_data,3,3,2,3.08,11.58,3.85,2.95,ECON_MOCK
X14,2010,-1.84,3.9,0.85,2.3,400000000.0,44160.47,mock_data,1,1,1,-1.4720000000000002,6.8999999999999995,-1.84,6.37,ECON_MOCK
X14,2011,4.86,10.44,10.7,-9.96,65700000000.0,16155.38,mock_data,3,3,3,3.8880000000000003,-29.880000000000003,4.86,-0.52,ECON_MOCK
X14,2012,4.59,11.81,7.18,-6.25,21080000000.0,56291.62,mock_data,3,3,3,3.672,-18.75,4.59,2.11,ECON_MOCK
X14,2013,1.62,3.27,2.43,2.08,42700000000.0,7506.66,mock_data,2,1,1,1.2960000000000003,6.24,1.62,0.83,ECON_MOCK
X14,2014,6.64,9.94,5.22,14.35,144330000000.0,61903.99,mock_data,3,2,2,5.312,43.05,6.64,0.69,ECON_MOCK
X14,2015,0.7,5.69,5.1,12.46,96020000000.0,11919.26,mock_data,2,2,2,0.5599999999999999,37.38,0.7,6.91,ECON_MOCK
X14,2016,-1.03,11.14,9.6,-5.24,91600000000.0,61448.11,mock_data,1,3,3,-0.8240000000000001,-15.72,-1.03,1.34,ECON_MOCK
X14,2017,0.86,11.34,0.27,5.15,141010000000.0,71770.08,mock_data,2,3,1,0.6880000000000001,15.450000000000001,0.86,4.84,ECON_MOCK
X14,2018,6.5,12.92,6.25,7.21,100470000000.0,34085.57,mock_data,3,3,3,5.2,21.63,6.5,0.03,ECON_MOCK
X14,2019,0.2,3.9,1.64,-3.37,66920000000.0,50548.77,mock_data,2,1,1,0.16000000000000003,-10.11,0.2,6.47,ECON_MOCK
X14,2020,6.76,6.18,8.59,7.16,106050000000.0,3120.96,mock_data,3,2,3,5.408,21.48,6.76,-0.02,ECON_MOCK
X14,2021,4.96,8.61,2.65,-5.6,113570000000.0,28038.8,mock_data,3,2,1,3.968,-16.799999999999997,4.96,5.64,ECON_MOCK
X14,2022,7.99,14.62,9.09,-3.33,10830000000.0,60775.37,mock_data,3,3,3,6.392,-9.99,7.99,-2.45,ECON_MOCK
X14,2023,-0.58,8.49,11.91,-8.54,100460000000.0,7193.96,mock_data,1,2,3,-0.46399999999999997,-25.619999999999997,-0.58,-2.99,ECON_MOCK
X15,2010,1.37,11.96,5.68,13.53,74610000000.0,72496.83,mock_data,2,3,2,1.096,40.589999999999996,1.37,-1.75,ECON_MOCK
X15,2011,5.33,13.7,3.4,7.93,91260000000.0,72511.78,mock_data,3,3,2,4.264,23.79,5.33,1.61,ECON_MOCK
X15,2012,3.9,10.21,1.17,4.93,105710000000.0,26904.82,mock_data,3,3,1,3.12,14.79,3.9,-2.87,ECON_MOCK
X15,2013,6.36,14.95,1.11,12.36,112190000000.0,61651.4,mock_data,3,3,1,5.088000000000001,37.08,6.36,-0.33,ECON_MOCK
X15,2014,-1.49,7.24,2.0,12.55,70000000000.0,7900.83,mock_data,1,2,1,-1.192,37.650000000000006,-1.49,1.56,ECON_MOCK
X15,2015,7.46,6.03,9.88,13.31,78560000000.0,11628.2,mock_data,3,2,3,5.968,39.93,7.46,5.62,ECON_MOCK
X15,2016,-1.99,10.03,10.05,10.47,106710000000.0,25747.14,mock_data,1,3,3,-1.592,31.410000000000004,-1.99,1.35,ECON_MOCK
X15,2017,0.58,13.63,0.01,11.82,94970000000.0,4440.37,mock_data,2,3,1,0.46399999999999997,35.46,0.58,6.19,ECON_MOCK
X15,2018,-1.9,11.76,9.23,13.21,134750000000.0,3938.01,mock_data,1,3,3,-1.52,39.63,-1.9,1.28,ECON_MOCK
X15,2019,3.05,6.91,3.37,-0.77,37940000000.0,71234.36,mock_data,3,2,2,2.44,-2.31,3.05,3.39,ECON_MOCK
X15,2020,-1.62,14.03,4.72,9.2,80550000000.0,12771.38,mock_data,1,3,2,-1.2960000000000003,27.599999999999998,-1.62,6.7,ECON_MOCK
X15,2021,2.8,3.56,9.77,1.35,85900000000.0,33783.49,mock_data,2,1,3,2.2399999999999998,4.050000000000001,2.8,5.97,ECON_MOCK
X15,2022,3.23,13.62,0.27,3.25,55570000000.0,14917.21,mock_data,3,3,1,2.584,9.75,3.23,3.63,ECON_MOCK
X15,2023,-1.0,14.93,5.92,6.59,40060000000.0,16404.09,mock_data,1,3,2,-0.8,19.77,-1.0,3.95,ECON_MOCK
X16,2010,6.45,5.06,2.21,9.98,67319999999.99999,12026.79,mock_data,3,2,1,5.16,29.94,6.45,3.49,ECON_MOCK
X16,2011,0.41,12.59,2.81,-4.71,63460000000.0,13218.13,mock_data,2,3,1,0.328,-14.129999999999999,0.41,-1.56,ECON_MOCK
X16,2012,2.38,11.07,2.84,-1.06,68489999999.99999,45294.68,mock_data,2,3,1,1.904,-3.18,2.38,-0.64,ECON_MOCK
X16,2013,6.5,5.49,6.89,8.92,88090000000.0,6429.68,mock_data,3,2,3,5.2,26.759999999999998,6.5,5.04,ECON_MOCK
X16,2014,4.68,8.5,10.69,10.88,12930000000.0,9154.74,mock_data,3,2,3,3.7439999999999998,32.64,4.68,-0.48,ECON_MOCK
X16,2015,5.19,4.26,10.75,4.71,110110000000.0,2699.42,mock_data,3,1,3,4.152,14.129999999999999,5.19,1.71,ECON_MOCK
X16,2016,2.64,13.25,9.63,0.71,94360000000.0,61131.2,mock_data,2,3,3,2.112,2.13,2.64,3.42,ECON_MOCK
X16,2017,3.07,2.38,6.5,-1.79,37700000000.0,32571.3,mock_data,3,1,3,2.456,-5.37,3.07,6.53,ECON_MOCK
X16,2018,-0.22,5.59,0.73,5.55,13440000000.0,40798.38,mock_data,1,2,1,-0.17600000000000002,16.65,-0.22,0.38,ECON_MOCK
X16,2019,6.12,4.67,3.29,3.36,140500000000.0,34746.82,mock_data,3,1,2,4.896000000000001,10.08,6.12,-0.32,ECON_MOCK
X16,2020,0.92,4.9,2.27,11.48,270000000.0,72148.23,mock_data,2,1,1,0.7360000000000001,34.44,0.92,6.1,ECON_MOCK
X16,2021,6.6,11.02,10.51,14.52,10760000000.0,64997.98,mock_data,3,3,3,5.28,43.56,6.6,1.69,ECON_MOCK
X16,2022,5.69,6.46,7.24,-3.11,18740000000.0,54404.4,mock_data,3,2,3,4.5520000000000005,-9.33,5.69,1.4,ECON_MOCK
X16,2023,1.5,8.44,9.89,14.15,37960000000.0,69459.73,mock_data,2,2,3,1.2000000000000002,42.45,1.5,4.73,ECON_MOCK
X17,2010,6.18,2.8,1.52,4.62,42640000000.0,13048.25,mock_data,3,1,1,4.944,13.86,6.18,4.08,ECON_MOCK
X17,2011,6.25,6.16,6.37,6.47,105490000000.0,26733.44,mock_data,3,2,3,5.0,19.41,6.25,4.98,ECON_MOCK
X17,2012,0.89,8.18,7.85,3.7,101720000000.0,6147.95,mock_data,2,2,3,0.7120000000000001,11.100000000000001,0.89,1.39,ECON_MOCK
X17,2013,0.2,7.97,9.76,-6.02,93120000000.0,58740.43,mock_data,2,2,3,0.16000000000000003,-18.06,0.2,1.16,ECON_MOCK
X17,2014,1.7,14.39,11.86,6.87,6410000000.0,76871.53,mock_data,2,3,3,1.36,20.61,1.7,-1.43,ECON_MOCK
X17,2015,0.07,10.29,7.78,4.21,47100000000.0,58014.78,mock_data,2,3,3,0.05600000000000001,12.629999999999999,0.07,3.99,ECON_MOCK
X17,2016,5.09,8.53,7.25,6.32,117210000000.0,38045.09,mock_data,3,2,3,4.072,18.96,5.09,4.19,ECON_MOCK
X17,2017,6.75,13.54,3.13,2.56,74380000000.0,79957.49,mock_data,3,3,2,5.4,7.68,6.75,-2.01,ECON_MOCK
X17,2018,0.74,14.39,5.99,-8.56,142210000000.0,14232.76,mock_data,2,3,2,0.592,-25.68,0.74,5.58,ECON_MOCK
X17,2019,6.37,7.99,5.28,1.84,51850000000.0,44884.37,mock_data,3,2,2,5.096,5.5200000000000005,6.37,4.06,ECON_MOCK
X17,2020,6.57,13.24,8.66,14.87,67840000000.0,22294.54,mock_data,3,3,3,5.256,44.61,6.57,-0.69,ECON_MOCK
X17,2021,-1.63,4.11,2.92,0.32,139240000000.0,42518.39,mock_data,1,1,1,-1.304,0.96,-1.63,-0.62,ECON_MOCK
X17,2022,-0.07,3.54,4.47,10.77,121530000000.0,51919.76,mock_data,1,1,2,-0.05600000000000001,32.31,-0.07,4.79,ECON_MOCK
X17,2023,3.04,12.01,9.76,-3.76,21620000000.0,5305.75,mock_data,3,3,3,2.4320000000000004,-11.28,3.04,2.15,ECON_MOCK
X18,2010,1.88,2.77,0.02,-8.17,43030000000.0,17116.92,mock_data,2,1,1,1.504,-24.509999999999998,1.88,1.75,ECON_MOCK
X18,2011,4.42,11.39,7.62,-6.66,5720000000.0,58238.62,mock_data,3,3,3,3.536,-19.98,4.42,0.8,ECON_MOCK
X18,2012,7.57,6.26,8.79,-3.04,31390000000.0,6391.34,mock_data,3,2,3,6.056000000000001,-9.120000000000001,7.57,-2.4,ECON_MOCK
X18,2013,4.49,11.42,10.09,3.87,79240000000.0,65064.83,mock_data,3,3,3,3.5920000000000005,11.61,4.49,-2.61,ECON_MOCK
X18,2014,7.4,2.1,5.97,1.28,94570000000.0,10468.99,mock_data,3,1,2,5.920000000000001,3.84,7.4,-2.77,ECON_MOCK
X18,2015,-1.47,10.54,9.52,-8.96,114030000000.0,56918.28,mock_data,1,3,3,-1.176,-26.880000000000003,-1.47,5.4,ECON_MOCK
X18,2016,-1.43,12.83,11.52,-1.2,134660000000.0,45999.73,mock_data,1,3,3,-1.144,-3.5999999999999996,-1.43,5.12,ECON_MOCK
X18,2017,1.48,11.38,4.16,8.57,32250000000.0,68495.36,mock_data,2,3,2,1.184,25.71,1.48,0.32,ECON_MOCK
X18,2018,7.18,4.15,1.52,-3.58,58780000000.0,5698.66,mock_data,3,1,1,5.744,-10.74,7.18,1.95,ECON_MOCK
X18,2019,6.07,11.54,5.65,-9.41,15530000000.0,11782.44,mock_data,3,3,2,4.856000000000001,-28.23,6.07,6.3,ECON_MOCK
X18,2020,6.55,3.3,7.07,13.19,79830000000.0,77559.55,mock_data,3,1,3,5.24,39.57,6.55,4.51,ECON_MOCK
X18,2021,2.03,2.6,10.43,-9.9,49610000000.0,25926.64,mock_data,2,1,3,1.6239999999999999,-29.700000000000003,2.03,-0.97,ECON_MOCK
X18,2022,5.98,2.56,11.83,3.47,69650000000.0,34898.84,mock_data,3,1,3,4.784000000000001,10.41,5.98,0.9,ECON_MOCK
X18,2023,5.46,13.99,5.29,0.31,104460000000.0,17421.77,mock_data,3,3,2,4.368,0.9299999999999999,5.46,1.38,ECON_MOCK
X19,2010,-0.25,3.0,1.32,12.97,102730000000.0,23106.31,mock_data,1,1,1,-0.2,38.910000000000004,-0.25,5.96,ECON_MOCK
X19,2011,-0.5,14.89,10.11,3.07,130350000000.0,79633.17,mock_data,1,3,3,-0.4,9.209999999999999,-0.5,-0.15,ECON_MOCK
X19,2012,2.43,6.18,3.57,-6.14,57810000000.0,24752.85,mock_data,2,2,2,1.9440000000000002,-18.419999999999998,2.43,-0.06,ECON_MOCK
X19,2013,5.52,14.04,9.77,0.93,77000000000.0,64274.56,mock_data,3,3,3,4.4159999999999995,2.79,5.52,5.4,ECON_MOCK
X19,2014,0.26,4.65,3.25,-4.05,52570000000.0,45241.59,mock_data,2,1,2,0.20800000000000002,-12.149999999999999,0.26,1.31,ECON_MOCK
X19,2015,0.33,2.48,3.67,-1.67,95400000000.0,53697.2,mock_data,2,1,2,0.264,-5.01,0.33,5.33,ECON_MOCK
X19,2016,-1.47,2.36,1.78,-2.96,26920000000.0,12383.0,mock_data,1,1,1,-1.176,-8.879999999999999,-1.47,-0.18,ECON_MOCK
X19,2017,7.82,7.25,4.44,-6.17,137700000000.0,16226.71,mock_data,3,2,2,6.256,-18.509999999999998,7.82,1.69,ECON_MOCK
X19,2018,1.51,14.73,3.7,-1.42,85860000000.0,72200.76,mock_data,2,3,2,1.2080000000000002,-4.26,1.51,1.47,ECON_MOCK
X19,2019,-1.33,11.16,10.88,10.63,125220000000.0,62403.05,mock_data,1,3,3,-1.064,31.89,-1.33,2.99,ECON_MOCK
X19,2020,7.25,5.91,4.81,11.85,59160000000.0,72361.29,mock_data,3,2,2,5.800000000000001,35.55,7.25,5.59,ECON_MOCK
X19,2021,4.3,12.02,3.26,7.74,136389999999.99998,40340.68,mock_data,3,3,2,3.44,23.22,4.3,4.97,ECON_MOCK
X19,2022,7.87,13.49,10.68,-6.58,69280000000.0,5516.8,mock_data,3,3,3,6.296,-19.740000000000002,7.87,2.19,ECON_MOCK
X19,2023,-1.92,14.82,7.81,-1.82,28940000000.0,26678.5,mock_data,1,3,3,-1.536,-5.46,-1.92,6.27,ECON_MOCK
